,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"prob_resp_class[4,4]",0.569825,0.00379396,0.217376,0.234127,0.233553,0.542986,0.946546,3060.96,2268.67,198.66,1.00152
"prob_resp_class[5,1]",0.0644281,0.00281678,0.11328,0.0225924,0.000622898,0.0170824,0.337875,2480.3,2112.22,160.975,1.00246
"prob_resp_class[5,2]",0.0522732,0.00124063,0.0620534,0.0319668,0.00175026,0.0269924,0.184106,3567.08,3597.08,231.508,1.0014
"prob_resp_class[5,3]",0.433716,0.00293648,0.217448,0.246295,0.0629014,0.444069,0.768962,5553.09,5790.96,360.403,0.999785
"prob_resp_class[5,4]",0.449583,0.00387871,0.248285,0.25211,0.123065,0.393713,0.919707,3535.26,3518.34,229.443,1.00111
"prob_resp_class[6,1]",0.0296922,0.00104042,0.0442175,0.0143366,0.000462275,0.0112356,0.132667,2637.97,2540.55,171.208,1.00245
"prob_resp_class[6,2]",0.0908832,0.00184332,0.0886925,0.0657323,0.00404137,0.0578105,0.275787,3331.92,2899.13,216.246,1.00156
"prob_resp_class[6,3]",0.217411,0.00153502,0.115812,0.128136,0.0257575,0.221387,0.406126,5737.98,5620.62,372.403,1.00003
"prob_resp_class[6,4]",0.662013,0.00324807,0.180727,0.199999,0.361091,0.65491,0.955596,3097.07,2477.77,201.004,1.00152
"prob_resp_class[7,1]",0.0195512,0.000771601,0.0336358,0.00758652,0.000219658,0.00579808,0.0960539,2779.18,2877.3,180.372,1.00251
"prob_resp_class[7,2]",0.1091,0.00308608,0.132412,0.063885,0.00315714,0.0533033,0.404695,3061.7,2268.68,198.708,1.00181
"prob_resp_class[7,3]",0.133235,0.00102062,0.0844187,0.0850983,0.0149035,0.123073,0.288104,7102.99,6408.52,460.993,1.00015
"prob_resp_class[7,4]",0.738114,0.00385281,0.184196,0.172662,0.363564,0.776221,0.972102,2966.39,2219.85,192.523,1.00177
"prob_resp_class[8,1]",0.062958,0.00264111,0.106502,0.0242839,0.000678691,0.018545,0.312511,2520.15,1990.58,163.561,1.0024
"prob_resp_class[8,2]",0.0523293,0.00116206,0.0589499,0.033441,0.0019553,0.0288266,0.175138,3739.74,3500.43,242.714,1.00147
"prob_resp_class[8,3]",0.434975,0.00290237,0.216718,0.244382,0.0625588,0.443599,0.773012,5633.45,5677.8,365.619,0.999707
"prob_resp_class[8,4]",0.449738,0.00382665,0.247082,0.252274,0.126094,0.393442,0.919309,3660.89,3934.43,237.596,1.00099
"prob_resp_class[9,1]",0.0167807,0.000626956,0.0280549,0.0072022,0.000211218,0.00552147,0.0774494,2832.21,2987.79,183.814,1.00236
"prob_resp_class[9,2]",0.109021,0.00257085,0.116166,0.0736959,0.00396078,0.0631133,0.35659,3120.7,2500.83,202.537,1.00179
"prob_resp_class[9,3]",0.121864,0.00100607,0.0826254,0.0816222,0.0128332,0.109026,0.276635,6933.16,6242.3,449.972,1.00012
"prob_resp_class[9,4]",0.752335,0.00323205,0.16457,0.166822,0.433156,0.780902,0.971508,3129.0,2471.71,203.077,1.00163
"prob_resp_class[10,1]",0.0267474,0.000586695,0.0316296,0.017444,0.000627114,0.014239,0.09413,3520.74,5244.28,228.501,1.0019
"prob_resp_class[10,2]",0.0990357,0.00112292,0.0793638,0.0792045,0.00659395,0.0809528,0.252125,5564.26,6583.38,361.128,1.00069
"prob_resp_class[10,3]",0.202766,0.00150169,0.110587,0.12701,0.0240491,0.205774,0.383122,5524.41,5919.39,358.542,1.00006
"prob_resp_class[10,4]",0.671451,0.00251987,0.161918,0.180674,0.422028,0.657543,0.947871,4147.38,5429.77,269.171,1.00105
"prob_resp_class[11,1]",0.0573947,0.00180415,0.078469,0.030811,0.00103785,0.0242147,0.240676,2613.08,2876.96,169.592,1.00248
"prob_resp_class[11,2]",0.0528179,0.000779583,0.0476563,0.0400769,0.00305854,0.0379175,0.149293,4604.97,5120.92,298.869,1.00122
"prob_resp_class[11,3]",0.440247,0.00274502,0.21192,0.223755,0.0622697,0.457265,0.763723,5962.96,5532.94,387.004,0.999771
"prob_resp_class[11,4]",0.449541,0.00355278,0.239836,0.237387,0.14222,0.390483,0.913992,4347.28,5587.21,282.144,1.00067
"prob_resp_class[12,1]",0.0459029,0.00200709,0.0807689,0.0164658,0.000476695,0.0125808,0.234862,2528.84,2037.17,164.125,1.00247
"prob_resp_class[12,2]",0.074062,0.00178736,0.0824168,0.0473355,0.00249726,0.0399049,0.254202,3246.28,3046.71,210.688,1.00162
"prob_resp_class[12,3]",0.309839,0.00222483,0.163173,0.180988,0.0410762,0.310005,0.574169,5477.39,5351.01,355.49,0.999898
"prob_resp_class[12,4]",0.570196,0.0037257,0.214975,0.230813,0.240896,0.542368,0.944306,3095.25,2288.26,200.886,1.00147
"prob_resp_class[13,1]",0.0308054,0.00161337,0.0650827,0.00649107,0.000133392,0.0047669,0.183969,2558.99,2159.68,166.082,1.00247
"prob_resp_class[13,2]",0.104826,0.00361259,0.153484,0.0438214,0.00142257,0.0337142,0.479167,3060.86,2517.24,198.654,1.00165
"prob_resp_class[13,3]",0.179816,0.0015846,0.112676,0.128687,0.0200953,0.166632,0.381652,5257.23,5548.8,341.201,1.00003
"prob_resp_class[13,4]",0.684552,0.0045147,0.214037,0.199414,0.229419,0.71095,0.969813,2898.69,1925.57,188.129,1.00172
"prob_resp_class[14,1]",0.0178537,0.000661866,0.0294867,0.00766506,0.000226263,0.00588799,0.0821904,2887.59,2774.14,187.409,1.00234
"prob_resp_class[14,2]",0.108005,0.00253601,0.114954,0.0732056,0.00396605,0.0630948,0.352469,3178.57,2504.72,206.294,1.00186
"prob_resp_class[14,3]",0.127511,0.00100894,0.0834943,0.0845059,0.0134274,0.116566,0.281568,7065.18,6033.76,458.54,0.999795
"prob_resp_class[14,4]",0.746631,0.00325614,0.166449,0.169384,0.430196,0.772272,0.970797,3093.12,2567.61,200.747,1.0016
"prob_resp_class[15,1]",0.04998,0.00259115,0.102851,0.0107354,0.000236182,0.00788986,0.305845,2513.08,1980.22,163.102,1.00247
"prob_resp_class[15,2]",0.0815982,0.00265169,0.117093,0.0351618,0.00127881,0.0272807,0.362377,3220.1,3410.23,208.989,1.00148
"prob_resp_class[15,3]",0.289693,0.00238678,0.164888,0.195509,0.0351808,0.287119,0.557432,4961.74,5586.53,322.024,0.999912
"prob_resp_class[15,4]",0.578729,0.00428577,0.229224,0.236154,0.1698,0.566179,0.952633,2922.91,2071.58,189.701,1.0017
"prob_resp_class[16,1]",0.0303052,0.00112018,0.0470514,0.0136347,0.000434858,0.0105911,0.141799,2675.53,2410.01,173.646,1.00256
"prob_resp_class[16,2]",0.0911566,0.00201105,0.0932803,0.0632696,0.00368613,0.055224,0.287516,3236.22,2768.04,210.035,1.00177
"prob_resp_class[16,3]",0.214753,0.00147883,0.114001,0.124254,0.0264687,0.219481,0.403502,5978.81,5539.43,388.033,0.999997
"prob_resp_class[16,4]",0.663785,0.00340629,0.184219,0.199887,0.347274,0.659417,0.95759,3001.46,2497.33,194.799,1.00167
"prob_resp_class[17,1]",0.0525206,0.00269208,0.107532,0.011227,0.000246523,0.00822946,0.322385,2554.02,1905.96,165.759,1.00235
"prob_resp_class[17,2]",0.0785518,0.00254993,0.112688,0.0341818,0.0012494,0.0266013,0.346339,3171.12,2998.8,205.81,1.00179
