,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
"y_rep[22,7]",0.458875,0.00562225,0.498337,0.0,0.0,0.0,1.0,7855.79,7855.79,531.119,1.00022
"y_rep[22,8]",0.462125,,0.498595,0.0,0.0,0.0,1.0,7671.95,7671.95,518.69,1.00033
"y_rep[22,9]",0.495875,0.00554965,0.500014,0.0,0.0,0.0,1.0,8118.11,8118.11,548.855,0.999714
"y_rep[22,10]",0.399625,0.00543678,0.489852,0.0,0.0,0.0,1.0,8130.31,8130.31,549.679,0.999965
"y_rep[23,1]",0.239375,,0.426729,0.0,0.0,0.0,1.0,7846.99,7846.99,530.525,0.999599
"y_rep[23,2]",0.3145,0.00508712,0.464345,0.0,0.0,0.0,1.0,8341.49,8341.49,563.957,0.999923
"y_rep[23,3]",0.319,,0.466118,0.0,0.0,0.0,1.0,,,,
"y_rep[23,4]",0.23,0.00475827,0.420859,0.0,0.0,0.0,1.0,7869.39,7869.39,532.039,1.00011
"y_rep[23,5]",0.418875,,0.493406,0.0,0.0,0.0,1.0,8142.54,8142.54,550.507,1.00012
"y_rep[23,6]",0.481875,0.00559123,0.499703,0.0,0.0,0.0,1.0,7991.72,7991.72,540.309,1.00004
"y_rep[23,7]",0.44725,0.00572408,0.497241,0.0,0.0,0.0,1.0,7599.14,7599.14,513.768,1.00041
"y_rep[23,8]",0.45575,0.00556982,0.498069,0.0,0.0,0.0,1.0,8019.09,8019.09,542.16,0.999859
"y_rep[23,9]",0.497625,0.00553581,0.500026,0.0,0.0,0.0,1.0,8206.85,8206.85,554.855,0.999918
"y_rep[23,10]",0.396875,0.00546354,0.48928,0.0,0.0,0.0,1.0,8067.85,8067.85,545.457,1.00002
"y_rep[24,1]",0.24075,,0.427566,0.0,0.0,0.0,1.0,8644.58,8644.58,584.449,0.999781
"y_rep[24,2]",0.303,,0.459584,0.0,0.0,0.0,1.0,7771.83,7771.83,525.443,0.999857
"y_rep[24,3]",0.316875,0.00511942,0.465287,0.0,0.0,0.0,1.0,8271.73,8271.73,559.241,0.999919
"y_rep[24,4]",0.2225,0.00462844,0.415951,0.0,0.0,0.0,1.0,8125.87,8125.87,549.379,0.999966
"y_rep[24,5]",0.42825,0.005494,0.494856,0.0,0.0,0.0,1.0,8124.77,8124.77,549.305,0.999803
"y_rep[24,6]",0.470875,0.00545396,0.499182,0.0,0.0,0.0,1.0,8397.25,8397.25,567.727,0.999898
"y_rep[24,7]",0.45825,,0.498285,0.0,0.0,0.0,1.0,,,,
"y_rep[24,8]",0.453125,0.00566393,0.497829,0.0,0.0,0.0,1.0,7756.76,7756.76,524.424,0.999931
"y_rep[24,9]",0.501625,0.00555962,0.500029,0.0,0.0,1.0,1.0,8102.82,8102.82,547.821,1.0001
"y_rep[24,10]",0.398,0.00534304,0.489516,0.0,0.0,0.0,1.0,8413.59,8413.59,568.832,1.00027
"y_rep[25,1]",0.238875,0.00472435,0.426423,0.0,0.0,0.0,1.0,8189.26,8189.26,553.665,0.999959
"y_rep[25,2]",0.3065,0.00528699,0.461069,0.0,0.0,0.0,1.0,7625.26,7625.26,515.533,0.999989
"y_rep[25,3]",0.328,0.00540372,0.469514,0.0,0.0,0.0,1.0,7598.81,7598.81,513.746,0.999898
"y_rep[25,4]",0.21875,0.0046434,0.413424,0.0,0.0,0.0,1.0,7957.2,7957.2,537.976,0.999713
"y_rep[25,5]",0.419875,0.00552364,0.493569,0.0,0.0,0.0,1.0,7919.1,7919.1,535.4,1.00037
"y_rep[25,6]",0.47675,0.00550481,0.49949,0.0,0.0,0.0,1.0,8269.68,8269.68,559.102,1.00001
"y_rep[25,7]",0.4555,0.00559292,0.498047,0.0,0.0,0.0,1.0,7956.44,7956.44,537.924,0.999897
"y_rep[25,8]",0.44675,0.00557175,0.497187,0.0,0.0,0.0,1.0,7972.91,7972.91,539.038,0.999698
"y_rep[25,9]",0.486375,0.00561209,0.499846,0.0,0.0,0.0,1.0,7941.4,7941.4,536.908,1.00018
"y_rep[25,10]",0.399875,,0.489903,0.0,0.0,0.0,1.0,7934.36,7934.36,536.432,1.00002
"y_rep[26,1]",0.23475,,0.423869,0.0,0.0,0.0,1.0,7627.79,7627.79,515.705,0.99968
"y_rep[26,2]",0.31125,0.00516928,0.463034,0.0,0.0,0.0,1.0,8029.18,8029.18,542.842,0.999856
"y_rep[26,3]",0.32,0.00529915,0.466505,0.0,0.0,0.0,1.0,7827.66,7827.66,529.218,0.999749
"y_rep[26,4]",0.229125,0.00474884,0.420296,0.0,0.0,0.0,1.0,7846.13,7846.13,530.466,1.00001
"y_rep[26,5]",0.43025,,0.495142,0.0,0.0,0.0,1.0,7615.42,7615.42,514.868,0.999884
"y_rep[26,6]",0.476125,0.00558446,0.499461,0.0,0.0,0.0,1.0,8007.33,8007.33,541.365,0.99986
"y_rep[26,7]",0.457125,0.0056538,0.498189,0.0,0.0,0.0,1.0,7769.1,7769.1,525.259,1.00004
"y_rep[26,8]",0.45025,0.00553442,0.49755,0.0,0.0,0.0,1.0,8097.6,8097.6,547.468,1.00035
"y_rep[26,9]",0.506375,0.00547601,0.499991,0.0,0.0,1.0,1.0,8359.67,8359.67,565.186,1.00001
"y_rep[26,10]",0.386125,0.00534488,0.48689,0.0,0.0,0.0,1.0,8303.51,8303.51,561.389,0.999695
"y_rep[27,1]",0.23725,,0.425423,0.0,0.0,0.0,1.0,,,,
"y_rep[27,2]",0.29925,0.00513699,0.457958,0.0,0.0,0.0,1.0,7960.36,7960.36,538.189,1.00083
"y_rep[27,3]",0.32175,,0.467177,0.0,0.0,0.0,1.0,8137.97,8137.97,550.197,1.00017
"y_rep[27,4]",0.22475,,0.417444,0.0,0.0,0.0,1.0,7606.77,7606.77,514.283,0.999742
"y_rep[27,5]",0.42275,,0.494027,0.0,0.0,0.0,1.0,,,,
"y_rep[27,6]",0.47525,0.00559705,0.499418,0.0,0.0,0.0,1.0,8061.96,8061.96,545.059,1.0005
"y_rep[27,7]",0.44425,,0.496913,0.0,0.0,0.0,1.0,8027.26,8027.26,542.713,1.00019
"y_rep[27,8]",0.458,0.00547247,0.498264,0.0,0.0,0.0,1.0,8299.05,8299.05,561.088,1.0
"y_rep[27,9]",0.485,0.00572138,0.499806,0.0,0.0,0.0,1.0,7642.45,7642.45,516.696,0.999584
"y_rep[27,10]",0.400375,,0.490005,0.0,0.0,0.0,1.0,8066.86,8066.86,545.39,1.00032
"y_rep[28,1]",0.242375,,0.428547,0.0,0.0,0.0,1.0,8019.71,8019.71,542.202,0.999634
"y_rep[28,2]",0.31225,0.00511518,0.46344,0.0,0.0,0.0,1.0,8231.54,8231.54,556.524,0.999663
"y_rep[28,3]",0.319875,,0.466457,0.0,0.0,0.0,1.0,7700.87,7700.87,520.646,1.00017
"y_rep[28,4]",0.2215,,0.415282,0.0,0.0,0.0,1.0,7870.8,7870.8,532.135,0.999981
"y_rep[28,5]",0.423875,0.00554151,0.494202,0.0,0.0,0.0,1.0,8051.77,8051.77,544.369,1.0003
"y_rep[28,6]",0.482625,,0.499729,0.0,0.0,0.0,1.0,8182.17,8182.17,553.186,0.99998
"y_rep[28,7]",0.45825,0.00552625,0.498285,0.0,0.0,0.0,1.0,8171.67,8171.67,552.475,1.00023
"y_rep[28,8]",0.4445,0.00545737,0.496941,0.0,0.0,0.0,1.0,8306.99,8306.99,561.625,1.00002
"y_rep[28,9]",0.505,0.00562619,0.500006,0.0,0.0,1.0,1.0,7903.56,7903.56,534.349,1.00026
