,stu,attr,mean,std,q_lower,q_upper,mastery
0,1,1,0.00015987425228546287,0.00031178180793941043,2.6771260874999998e-06,0.0009446197097499999,0
1,1,2,0.015575428192232113,0.032082984841312695,0.00012839044575000002,0.09610914822499997,0
2,2,1,0.0030386942537435247,0.005534130480549472,5.3651739500000005e-05,0.017226947499999985,0
3,2,2,0.01642376027710104,0.031953455181768314,0.000152483309,0.09775347557499968,0
4,3,1,0.0035791231473441248,0.0059667532571011615,9.128533585000001e-05,0.01895022477499999,0
5,3,2,0.0869848539839875,0.11587081740970946,0.0013847988900000001,0.43881861549999995,0
6,4,1,0.00031785656298487875,0.0006392685548492871,6.8591633e-06,0.0016897523624999963,0
7,4,2,0.008036846859560211,0.017758970061501407,6.866597760000002e-05,0.04993584174999999,0
8,5,1,0.00018996580513966,0.0003620584447897969,2.9931596625e-06,0.0011603654599999997,0
9,5,2,0.0011019996088328713,0.0029952734524575,9.712324142500001e-06,0.006702921954999996,0
10,6,1,0.0053998794491086875,0.010361573240757187,0.00013157417050000002,0.0284428715,0
11,6,2,0.06725681358026687,0.09886142727827305,0.001029898705,0.3611873739999996,0
12,7,1,0.0018680886324039876,0.0032068792706632285,5.85994177e-05,0.009106792799999977,0
13,7,2,0.42703538142678626,0.27253671180226835,0.017796671575000002,0.9164631462499998,0
14,8,1,0.00040704284584128377,0.0007726675232279817,6.467592455000001e-06,0.0023809096574999946,0
15,8,2,0.001130431372504995,0.0025317897834743297,1.1404647175000005e-05,0.006997124627499995,0
16,9,1,0.00704824229236855,0.012252600081143518,0.00018121430675,0.037334265599999965,0
17,9,2,0.30423558691934377,0.2413160391384273,0.0105518341,0.83759269325,0
18,10,1,0.07497768911009625,0.09110814930116469,0.0025624757625,0.33642780824999974,0
19,10,2,0.10626817911290175,0.12124991687151011,0.00374243951,0.45374118699999993,0
20,11,1,0.0029210399684093625,0.005490661593706585,4.899495675e-05,0.01706107314999996,0
21,11,2,0.0013231731379596287,0.0028100350661158994,1.9718561975000006e-05,0.007707397727499983,0
22,12,1,0.0005366361295877875,0.0011981993419271327,1.1093167625000001e-05,0.002893030304999994,0
23,12,2,0.007620327893994938,0.01692390800235779,8.270528572500004e-05,0.04537871927499994,0
24,13,1,7.793543100579375e-05,0.00016661621433622126,1.3473239275e-06,0.00044595175824999934,0
25,13,2,0.060077467723454625,0.08894311423622346,0.0006410911342500001,0.33036994499999994,0
26,14,1,0.007613228727227438,0.011988775604226877,0.00023059727875000005,0.039499809599999956,0
27,14,2,0.31583164795806373,0.2509946070595313,0.011738703075000002,0.8605829224999999,0
28,15,1,2.241428603913275e-05,4.2886252455200946e-05,4.748236370000001e-07,0.00012168343849999995,0
29,15,2,0.009714116916793311,0.019175431587443358,7.0603524075e-05,0.059550465049999925,0
30,16,1,0.0038404678870942004,0.006157457962667381,0.000105346952,0.02047731705,0
31,16,2,0.08924951040264474,0.12132036797061323,0.0013947441450000001,0.44819253699999984,0
32,17,1,1.9878626552647874e-05,3.601881669030777e-05,3.88467056e-07,0.00011115949999999991,0
33,17,2,0.007440186145515037,0.016746337875000822,5.8439663875000004e-05,0.044683552799999936,0
34,18,1,0.00014859774727531114,0.00030662203127783947,1.5449111925000001e-06,0.0009115488902499983,0
35,18,2,0.001654144361186405,0.004189299391648258,1.0716398425000002e-05,0.010310229524999999,0
36,19,1,0.00040559732451984497,0.0007707001150924024,6.627197777500001e-06,0.002355761644999996,0
37,19,2,0.0011179267070101826,0.003005856346126704,1.1342790000000002e-05,0.00670844872249999,0
38,20,1,0.000277188124455225,0.0005114312127222973,6.120894975e-06,0.0015626847374999996,0
39,20,2,0.008021351760466387,0.017745111308965483,6.691311035000001e-05,0.05023400809999999,0
40,21,1,1.2949746778148726e-05,2.6856743027115226e-05,1.3450384075000008e-07,7.982092787499992e-05,0
41,21,2,0.0001482337253651254,0.0003946485069137235,8.209524580000001e-07,0.0009413865097499999,0
42,22,1,2.0399201339499874e-05,3.979653641109674e-05,4.046383395e-07,0.00011506935149999998,0
43,22,2,0.007929694302656443,0.017654376475706432,5.4383987975e-05,0.04907212834999984,0
44,23,1,0.00031538449506597627,0.0005142029209688608,8.5240286975e-06,0.001714363704999999,0
45,23,2,0.11042795449547113,0.1350181529084633,0.0017280536700000008,0.5152625364999999,0
46,24,1,0.00057475787805571,0.0009810759933645144,1.44043107e-05,0.0031081284699999976,0
47,24,2,0.31272666172386404,0.25201181775314924,0.008663750477500003,0.8597068842499995,0
48,25,1,0.000228996028377195,0.0003964453640138122,5.654501345e-06,0.0012238922024999993,0
49,25,2,0.08218520160226138,0.11057550534303072,0.0011352066125,0.4034180767499999,0
50,26,1,0.03823852503804238,0.052409169754798854,0.0012244885775,0.1846648082499999,0
51,26,2,0.07210679080203662,0.09513869428706774,0.0019293537875,0.3634802072499999,0
52,27,1,0.0068599593623539625,0.011390501866707025,0.0001982357485,0.036289974399999966,0
53,27,2,0.256199964380865,0.22231252102446028,0.008108041037500001,0.79247681075,0
54,28,1,0.00036938860270399875,0.0007666334973936783,8.372490335e-06,0.0020122523199999987,0
55,28,2,0.01046974925766965,0.020180665377603088,0.00011288544175000001,0.06584970622499987,0
56,29,1,1.9878626552647874e-05,3.601881669030777e-05,3.88467056e-07,0.00011115949999999991,0
57,29,2,0.007440186145515037,0.016746337875000822,5.8439663875000004e-05,0.044683552799999936,0
58,30,1,2.0646292989217e-05,3.8940951586141797e-05,4.197272e-07,0.00011645250074999997,0
59,30,2,0.007655382852907551,0.015599755481607445,6.584541447499999e-05,0.04627286112499987,0
